student_id,final_score,assignment_rate,sub_rate_d1,sub_rate_d2,sub_rate_d3,sub_rate_d4,sub_rate_d5,sub_rate_d6,sub_rate_d7,sub_rate_d8
1,80.96,97.98,97.02,63.7,39.82,23.81,14.1,9.12,7.28,7.02
2,73.34,97.47,92.53,59.2,35.33,19.32,9.61,4.63,2.79,2.53
3,82.77,100.0,95.0,61.68,37.8,21.79,12.08,7.1,5.26,5.0
4,93.28,100.0,100.0,66.68,42.8,26.79,17.08,12.1,10.26,10.0
5,72.19,87.55,100.0,69.13,45.25,29.24,19.53,14.55,12.71,12.45
6,72.19,89.75,100.0,66.93,43.05,27.04,17.34,12.35,10.51,10.25
7,93.95,100.0,100.0,66.68,42.8,26.79,17.08,12.1,10.26,10.0
8,84.21,99.41,95.59,62.27,38.39,22.38,12.67,7.69,5.85,5.59
9,69.37,96.45,88.55,55.23,31.35,15.34,5.64,0.65,0.0,0.0
10,81.51,100.0,95.0,61.68,37.8,21.79,12.08,7.1,5.26,5.0
11,69.44,96.74,88.26,54.93,31.06,15.05,5.34,0.36,0.0,0.0
12,69.41,99.56,85.44,52.12,28.24,12.23,2.52,0.0,0.0,0.0
13,77.9,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
14,52.04,93.67,86.33,53.01,29.13,13.13,3.42,0.0,0.0,0.0
15,54.3,89.28,90.72,57.39,33.51,17.51,7.8,2.82,0.98,0.72
16,68.25,97.45,87.55,54.23,30.35,14.35,4.64,0.0,0.0,0.0
17,62.85,88.71,96.29,62.97,39.09,23.09,13.38,8.39,6.56,6.29
18,78.77,94.57,95.43,62.11,38.23,22.22,12.51,7.53,5.69,5.43
19,64.1,90.39,94.61,61.28,37.4,21.4,11.69,6.71,4.87,4.61
20,58.05,92.02,87.98,54.66,30.78,14.77,5.06,0.08,0.0,0.0
21,92.59,100.0,100.0,66.68,42.8,26.79,17.08,12.1,10.26,10.0
22,72.29,85.12,100.0,71.55,47.68,31.67,21.96,16.98,15.14,14.88
23,75.81,98.59,91.41,58.08,34.21,18.2,8.49,3.51,1.67,1.41
24,57.9,83.52,96.48,63.16,39.28,23.28,13.57,8.58,6.75,6.48
25,68.47,91.33,93.67,60.34,36.47,20.46,10.75,5.77,3.93,3.67
26,76.33,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
27,61.19,92.56,92.44,59.12,35.24,19.23,9.53,4.54,2.7,2.44
28,79.51,90.51,99.49,66.16,42.29,26.28,16.57,11.59,9.75,9.49
29,67.79,89.98,95.02,61.69,37.82,21.81,12.1,7.12,5.28,5.02
30,71.5,97.7,92.3,58.98,35.1,19.1,9.39,4.4,2.56,2.3
31,67.78,89.9,95.1,61.77,37.89,21.89,12.18,7.2,5.36,5.1
32,97.23,100.0,100.0,66.68,42.8,26.79,17.08,12.1,10.26,10.0
33,74.84,95.2,94.8,61.48,37.6,21.6,11.89,6.9,5.07,4.8
34,62.31,89.2,95.8,62.47,38.6,22.59,12.88,7.9,6.06,5.8
35,84.87,100.0,95.0,61.68,37.8,21.79,12.08,7.1,5.26,5.0
36,60.35,95.24,89.76,56.44,32.56,16.55,6.84,1.86,0.02,0.0
37,77.51,85.38,100.0,71.3,47.42,31.42,21.71,16.72,14.89,14.62
38,51.48,91.23,88.77,55.45,31.57,15.56,5.86,0.87,0.0,0.0
39,59.06,88.5,91.5,58.17,34.3,18.29,8.58,3.6,1.76,1.5
40,77.36,99.73,90.27,56.94,33.06,17.06,7.35,2.36,0.53,0.27
41,83.86,92.81,100.0,68.87,44.99,28.98,19.27,14.29,12.45,12.19
42,77.06,94.84,95.16,61.84,37.96,21.96,12.25,7.26,5.42,5.16
43,73.61,97.25,92.75,59.43,35.55,19.55,9.84,4.85,3.02,2.75
44,71.39,98.61,91.39,58.07,34.19,18.19,8.48,3.49,1.66,1.39
45,57.26,85.45,94.55,61.23,37.35,21.34,11.63,6.65,4.81,4.55
46,66.36,91.6,93.4,60.08,36.2,20.19,10.48,5.5,3.66,3.4
47,69.47,91.52,93.48,60.16,36.28,20.27,10.56,5.58,3.74,3.48
48,87.69,94.27,100.0,67.41,43.53,27.52,17.81,12.83,10.99,10.73
49,79.12,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
50,53.84,92.79,87.21,53.88,30.01,14.0,4.29,0.0,0.0,0.0
51,78.89,89.47,100.0,67.2,43.33,27.32,17.61,12.63,10.79,10.53
52,70.38,98.67,91.33,58.01,34.13,18.13,8.42,3.43,1.6,1.33
53,66.88,100.0,85.0,51.68,27.8,11.79,2.08,0.0,0.0,0.0
54,82.34,100.0,95.0,61.68,37.8,21.79,12.08,7.1,5.26,5.0
55,87.37,89.88,100.0,71.8,47.92,31.92,22.21,17.22,15.38,15.12
56,86.18,94.81,100.0,66.86,42.98,26.98,17.27,12.29,10.45,10.19
57,64.93,99.32,85.68,52.36,28.48,12.47,2.76,0.0,0.0,0.0
58,71.29,90.72,99.28,65.96,42.08,26.07,16.37,11.38,9.54,9.28
59,78.98,98.01,91.99,58.66,34.78,18.78,9.07,4.08,2.25,1.99
60,86.71,100.0,95.0,61.68,37.8,21.79,12.08,7.1,5.26,5.0
61,69.25,89.22,95.78,62.46,38.58,22.58,12.87,7.88,6.05,5.78
62,72.77,94.26,95.74,62.42,38.54,22.54,12.83,7.84,6.01,5.74
63,61.72,76.14,100.0,75.54,51.66,35.65,25.95,20.96,19.12,18.86
64,60.65,87.01,97.99,64.67,40.79,24.79,15.08,10.09,8.26,7.99
65,84.75,95.69,99.31,65.99,42.11,26.11,16.4,11.41,9.58,9.31
66,91.27,92.02,100.0,74.66,50.78,34.78,25.07,20.08,18.25,17.98
67,74.14,100.0,90.0,56.68,32.8,16.79,7.08,2.1,0.26,0.0
68,87.04,90.26,100.0,71.42,47.54,31.54,21.83,16.84,15.0,14.74
69,79.34,93.67,96.33,63.01,39.13,23.13,13.42,8.43,6.59,6.33
70,67.26,94.11,90.89,57.57,33.69,17.69,7.98,2.99,1.16,0.89
